start,end,minutes,direct_api_rows
2020-02-09 02:00:00+00:00,2020-02-09 03:00:00+00:00,60,0
2020-02-19 11:36:00+00:00,2020-02-19 17:30:00+00:00,354,0
2020-03-04 09:22:00+00:00,2020-03-04 11:30:00+00:00,128,0
2020-04-25 02:00:00+00:00,2020-04-25 04:30:00+00:00,150,0
2020-06-28 02:00:00+00:00,2020-06-28 05:30:00+00:00,210,0
2020-11-30 06:00:00+00:00,2020-11-30 07:00:00+00:00,60,0
2020-12-21 13:48:00+00:00,2020-12-21 18:00:00+00:00,252,0
2020-12-25 02:00:00+00:00,2020-12-25 03:00:00+00:00,60,0
2021-02-11 03:41:00+00:00,2021-02-11 05:00:00+00:00,79,0
2021-03-06 02:00:00+00:00,2021-03-06 03:30:00+00:00,90,0
2021-04-20 02:00:00+00:00,2021-04-20 04:30:00+00:00,150,0
2021-04-25 04:01:00+00:00,2021-04-25 08:45:00+00:00,284,0
2021-08-13 02:00:00+00:00,2021-08-13 06:30:00+00:00,270,0
2021-09-29 07:00:00+00:00,2021-09-29 09:00:00+00:00,120,0
2023-03-24 12:40:00+00:00,2023-03-24 14:00:00+00:00,80,0
