trial,buckets_per_day,vpin_window,cumulative_avoided_dd,avg_avoided_dd,num_successful_exits,max_drawdown,num_exits,total_pnl
0,143,334,339.985849071479,4.927331145963463,69,-1586.984074953813,72,1727.1097881419946
1,262,214,338.30679301781066,3.888583827790927,87,-483.6325212724048,87,1340.8732776240724
2,71,63,385.2998414204756,4.586902874053281,84,-483.45944869720483,88,1361.2014209958484
3,39,305,349.9976185790075,4.117619042105971,85,-1574.4827113997555,98,1549.05298752759
4,218,251,304.8677465721151,4.011417718054147,76,-507.9600990163493,79,1484.6268129971684
5,26,340,318.42447721475594,4.189795752825736,76,-1622.2199370249587,86,1673.8411592402483
6,295,82,526.1716314860421,4.209373051888337,125,-458.2939156176002,131,1230.1105253292214
7,80,72,414.0546023590492,4.6006066928783245,90,-483.4107764087131,93,1362.0760319546412
8,120,188,282.37292420260684,4.554402003267852,62,-1572.6400049455524,66,1678.0924046017662
9,162,109,430.08739219531276,4.943533243624284,87,-482.16446217931184,90,1350.7475610622387
10,222,57,549.6740279122263,4.132887427911475,133,-458.47721078208656,135,1209.527589763852
11,116,134,327.3929146432054,4.484834447167199,73,-507.46760156463597,77,1449.0326756655004
12,170,277,282.14624690962427,4.21113801357648,67,-1574.5959851346686,69,1648.2580067092524
13,86,185,330.9637116188377,4.412849488251169,75,-1590.9045197902897,80,1609.2336615746449
14,216,25,918.8467686430224,4.571376958422997,201,-254.55760679698687,205,900.9348027740858
15,221,68,574.0431826404538,4.667017745044339,123,-459.2458664690521,128,1285.6933653080878
16,41,333,294.81318367365725,3.879120837811279,76,-1571.9948771910028,85,1629.986183818588
17,339,285,295.34923020465715,3.738597850691862,79,-483.6081102836757,82,1345.341536714487
18,120,43,466.1359447059997,4.16192807773214,112,-515.0034878454043,121,1310.492360665801
19,246,160,448.23034501245434,5.152072931177638,87,-482.2482476996522,90,1373.607074252066
20,200,11,1381.5338702977904,4.864555881330248,284,-254.6670606578723,297,878.9774528968748
21,206,11,1429.835354994841,5.088382046244986,281,-132.46457468996255,292,999.6959917369292
22,205,23,926.5262991029377,4.850923031952554,191,-254.63800466808527,199,889.6623012768832
23,191,11,1326.887989608634,4.878264667678802,272,-254.766667513681,285,861.9138989117524
24,183,12,1215.8607325811818,4.902664244278959,248,-254.7163901608606,262,836.0207578287547
25,257,103,501.30095111013077,4.599091294588355,109,-513.6299011600523,114,1334.0170959817196
26,284,31,937.7285251389026,4.508310217013955,208,-254.7141020262397,212,829.9544049349827
27,185,12,1228.5000068078564,4.894422337879907,251,-254.72963200568358,265,834.7516465231819
28,306,104,512.3462795280936,4.4942656098955585,114,-513.4290351244346,117,1330.078084973847
29,145,45,614.1698857683195,4.835983352506454,127,-458.516678575643,136,1239.0140359542136
30,194,138,386.21089043265187,4.543657534501786,85,-482.8105940929602,87,1357.1950519041777
31,155,15,1072.1507748302524,5.033571712818086,213,-254.54813294972064,223,951.2865551933792
32,178,40,663.0468457474196,4.362150300969867,152,-346.4842858360778,155,1102.1619097088492
33,233,82,505.9548344861198,4.216290287384331,120,-513.4394813331226,128,1303.303345195239
34,193,10,1400.982210157311,5.057697509593182,277,-254.7492898746724,295,838.1656921763316
35,243,52,721.0045507481404,4.62182404325731,156,-346.5840322184806,161,1126.144406074228
36,134,236,295.54302346612957,4.048534568029173,73,-1568.8273271709982,75,1551.2783524921788
37,274,30,946.998336654141,4.509515888829243,210,-254.77151203095679,217,850.5073125711336
38,200,79,452.54080823046144,4.393600079907393,103,-513.6588156307487,107,1347.140167492521
39,262,57,686.3807393798816,4.637707698512713,148,-346.5014448770039,153,1077.067791787189
40,207,97,436.9793579662563,4.413932908750064,99,-514.9264066905245,105,1392.357377880324
41,187,18,1056.2264441981804,4.801029291809911,220,-254.7451996860808,225,956.3427102893473
42,167,37,689.710581715897,4.537569616551954,152,-346.4386782710437,158,1114.2181816461782
43,232,10,1581.9488501118844,5.05414968086864,313,-149.21025231020064,327,1016.8047607924073
44,238,61,621.3221162037678,4.5351979284946555,137,-458.3282928873989,141,1267.8779087007194
45,150,207,306.2176544796278,4.374537921137541,70,-1573.069095179627,73,1815.2359895186878
46,225,33,830.8646106848769,4.565190168598225,182,-346.55065830773947,188,1052.3496037142786
47,209,10,1502.6592947029908,5.1637776450274595,291,-134.92990687281406,305,953.7168908737311
48,207,124,403.409324336347,4.291588556769649,94,-500.53804453360465,97,1359.2603956326325
49,258,68,610.0356173206135,4.452814724967982,137,-458.27891598431825,139,1235.9514254730748
50,170,47,583.1957963130375,4.5208976458375,129,-458.4470462835303,133,1206.0329938077775
51,219,10,1486.0926770582835,5.0547369967968825,294,-141.3093399530744,314,982.305014637823
52,218,26,869.3348786201941,4.599655442434889,189,-254.53750926638156,193,891.2957546120256
53,234,10,1588.0625648058951,5.025514445588275,316,-150.44381425244717,328,923.9827918980308
54,227,27,888.605872149883,4.465356141456699,199,-254.49452400513974,204,869.3174579116944
55,250,50,729.4612552172483,4.767720622334957,153,-346.5865159510372,160,1118.3666883170808
56,269,36,882.4564385165826,4.572313152935662,193,-346.3521783708163,196,1036.374423027173
57,216,10,1492.5155019257656,5.0593745827992045,295,-138.873197581221,312,890.237725129647
58,234,87,494.1893166589467,4.373356784592448,113,-514.2753778927957,117,1340.9513643946175
59,294,67,667.3233993569818,4.602230340392977,145,-346.6152379021231,148,1104.0170645150376
60,210,24,932.496972997284,4.593581147769873,203,-254.60209378857144,208,867.3789526833513
